GEOID,population,median_income,accessibility
36029003800,3240,26023,1
36029006301,4263,77267,1
36029011400,2361,41528,1
36029016600,2776,22051,1
36029006904,2166,35095,1
36029007104,2690,18354,1
36029006801,1235,58462,1
36029004300,6703,44109,1
36029016900,4151,61944,1
36029000700,3498,75417,1
36029003000,2807,26916,1
36029007202,1584,35846,1
36029008400,2596,56964,1
36029003501,1354,16250,1
36029005202,2722,45250,1
36029002300,3451,29792,1
36029012501,4139,41779,1
36029003502,1578,34444,1
36029002703,1149,15025,1
36029016400,2783,38170,1
36029008003,4531,52636,1
36029002802,955,27222,1
36029010300,1178,38170,1
36029005500,4271,32667,1
36029002502,1816,24366,1
36029001602,1165,17250,1
36029004401,4966,40777,1
36029005400,3865,58038,1
36029005900,4141,26964,1
36029000500,1646,26530,1
36029000800,4660,73224,1
36029001100,2775,39435,1
36029005802,4511,24760,1
36029012300,3374,35948,1
36029001500,1511,31941,1
36029980000,2047,NA,1
36029006802,1894,44196,1
36029004702,4395,40559,1
36029005201,3272,74058,1
36029005300,1572,56389,1
36029017100,3701,27546,1
36029006100,4816,37833,1
36029006601,2511,76318,1
36029006701,3027,43843,1
36029007102,2460,24000,1
36029006901,4012,32669,1
36029004500,5239,85959,1
36029003301,3502,41849,1
36029003302,2666,24012,1
36029016200,2319,50569,1
36029001601,1530,19455,1
36029006501,2684,61631,1
36029007103,1500,30227,1
36029006903,1612,51429,1
36029004003,3124,25680,1
36029001000,6026,52468,1
36029000200,3985,46319,1
36029016500,1738,65250,1
36029003901,913,21128,1
36029001403,2090,13184,1
36029002801,1250,11844,1
36029017000,2661,34391,1
36029007000,2698,32583,1
36029000600,4212,69306,1
36029001404,738,11781,1
36029000900,2438,60426,1
36029005801,3420,31859,1
36029006302,2488,75472,1
36029003100,2392,26886,1
36029002704,2111,NA,1
36029004601,3378,58444,1
36029011700,4072,56955,0.9999999999988121
36029010700,2436,54934,0.9580141916054016
36029004901,1547,45455,0.9364999418027662
36029004002,1185,42684,0.9001325704950865
36029002900,1740,22223,0.8726031871958762
36029003400,2903,27231,0.8421927372980283
36029002400,3285,30528,0.8416394728159015
36029001900,3295,50325,0.8039438842876345
36029011100,2118,57036,0.7945183691455107
36029003700,3663,25959,0.7654973885288642
36029000110,2446,42582,0.7530178206082139
36029001700,1948,20795,0.7122239766908328
36029016801,1794,21746,0.6849807116218014
36029016300,1889,25500,0.6806869521558745
36029016802,1948,43125,0.6663692629113973
36029980500,1026,NA,0.6473700089607458
36029005600,3960,26682,0.6445060890020771
36029008800,3595,70203,0.642002535459116
36029005700,3178,31698,0.6103605293547362
36029006702,3123,36438,0.6092743433007024
36029004402,2474,16117,0.5354572125591505
36029004200,3873,31637,0.3227842831209095
36029003600,2621,29339,0.3102411774944635
36029004701,2074,53028,0.28429340085074023
36029016700,2191,33125,0.27937356962820875
36029004100,4415,32774,0.2613846738406791
36029012001,4657,74282,0.24896544047325347
36029006602,2409,60694,0.16104269042753733
36029004800,3833,81553,0.13099769177310547
36029004902,3902,63558,0.0845489992085836
36029017400,4311,40327,0.06488319945781677
36029008700,4408,57038,0.051648869790002404
36029005000,2160,55833,0.04287264103236896
36029008002,5275,68534,0.016674273617538093
36029010202,4072,47356,0.006927304572944211
36029009301,4696,37635,0.006654420074201122
36029011000,1805,52788,0
36029011300,4210,54654,0
36029005100,4389,47549,0
36029009401,6033,79138,0
36029009501,5080,99572,0
36029008500,2419,71912,0
